0; 2708
1; 2685
2; 2641
3; 2641
4; 2736
5; 2673
6; 2669
7; 2734
8; 2736
9; 2771
10; 2687
11; 2828
12; 2762
13; 2732
14; 2787
15; 2803
16; 2795
17; 2698
18; 2801
19; 2739
20; 2787
21; 2769
22; 2742
23; 2599
24; 2728
25; 2714
26; 2835
27; 2661
28; 2840
29; 2722
30; 2747
31; 2780
32; 2788
33; 2661
34; 2682
35; 2736
36; 2752
37; 2679
38; 2669
39; 2734
40; 2672
41; 2745
42; 2718
43; 2759
44; 2660
45; 2743
46; 2837
47; 2748
48; 2802
49; 2756
50; 2732
51; 2703
52; 2818
53; 2783
54; 2737
55; 2703
56; 2754
57; 2833
58; 2715
59; 2662
60; 2708
61; 2628
62; 2775
63; 2690
64; 2725
65; 2645
66; 2652
67; 2647
68; 2635
69; 2763
70; 2715
71; 2759
72; 2751
73; 2715
74; 2837
75; 2589
76; 2791
77; 2708
78; 2788
79; 2793
80; 2656
81; 2739
82; 2855
83; 2757
84; 2784
85; 2721
86; 2757
87; 2774
88; 2677
89; 2754
90; 2704
91; 2709
92; 2740
93; 2780
94; 2794
95; 2707
96; 2735
97; 2712
98; 2657
99; 2638
100; 2648
101; 2726
102; 2707
103; 2737
104; 2719
105; 2794
106; 2683
107; 2717
108; 2698
109; 2752
110; 2745
111; 2906
112; 2777
113; 2748
114; 2788
115; 2798
116; 2761
117; 2804
118; 2759
119; 2747
120; 2836
121; 2653
122; 2803
123; 2736
124; 2725
125; 2721
126; 2631
127; 2787
